city,theatre_name,average_ticket_price,total_seats,no_screens,type,theatre_chain
Ahmedabad,"AB Miniplex: Shivranjini Cross Road, Satellite",125.6190476,302,3,Multiplex,
Ahmedabad,Amber Cinema: Ahmedabad,100.8333333,763,1,Single Screen,
Ahmedabad,Anupam Cinema: Ahmedabad,125.8333333,781,1,Single Screen,
Ahmedabad,"Apsara Cinema, Behrampura",,1117,1,Single Screen,
Ahmedabad,"Aradhana Cinema, Behrampura",,455,1,Single Screen,
Ahmedabad,Carnival: Himalaya Mall,189.0509259,1110,5,Multiplex,Carnival
Ahmedabad,"Cinemax: Dev Arc, Ahmedabad",176.4351852,1047,4,Multiplex,PVR
Ahmedabad,"Cinemax: Red Carpet, Ahmedabad",152.0524691,991,4,Multiplex,PVR
Ahmedabad,"Cinemax: Shiv, Ahmedabad",176.2777778,637,3,Multiplex,PVR
Ahmedabad,"Cinepolis: Alpha One Mall, Ahmedabad",197.9494949,1136,6,Multiplex,Cinepolis
Ahmedabad,City Gold Satellite: Ahmedabad,156.1458333,371,4,Multiplex,City Gold
Ahmedabad,City Gold: Ashram Road,159.9814815,1313,5,Multiplex,City Gold
Ahmedabad,City Gold: Bapunagar,101.1666667,419,4,Multiplex,City Gold
Ahmedabad,City Gold: Bopal,152.3571429,462,4,Multiplex,City Gold
Ahmedabad,City Gold: Motera,111.5,728,2,Multiplex,City Gold
Ahmedabad,Devi Multiplex: Naroda,94.77777778,804,3,Multiplex,
Ahmedabad,"Galaxy, Station Road",,909,1,Single Screen,
Ahmedabad,"Hanjar Cinema, Gandhi Ashram",,995,1,Single Screen,
Ahmedabad,K Sera Sera: SG Highway,155.2083333,152,2,Multiplex,K Sera Sera
Ahmedabad,"Mira Cinema, Bhairavnath Road",,1028,1,Single Screen,
Ahmedabad,Miraj Cinemas Cine Pride: Krishna Nagar,105.5,829,4,Multiplex,Miraj Cinema
Ahmedabad,"Miraj Cinemas: Vitthal Plaza, New Naroda",150.4583333,372,3,Multiplex,Miraj Cinema
Ahmedabad,Miraj City Pulse: Ahmedabad,158.7590909,936,4,Multiplex,Miraj Cinema
Ahmedabad,"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",151.2708333,404,4,Multiplex,Mukta A2
Ahmedabad,"PVR: Acropolis, Ahmedabad",232.1338384,1343,6,Multiplex,PVR
Ahmedabad,"PVR: Arved Transcube, Ahmedabad",167.8217593,1404,7,Multiplex,PVR
Ahmedabad,"PVR: Motera, Ahmedabad",154.3333333,1102,4,Multiplex,PVR
Ahmedabad,Rajhans Cinemas: Nikol,114.5055556,741,3,Multiplex,Rajhans
Ahmedabad,Rajhans Cinemas: Satadhar,124.2296296,1080,4,Multiplex,Rajhans
Ahmedabad,Revolution Multiplex: Ahmedabad,148.75,423,4,Multiplex,
Ahmedabad,"Sapna Cinema, Juhapura",,1401,1,Single Screen,
Ahmedabad,"Shital Cinema, Gomtipur",,350,1,Single Screen,
Ahmedabad,"Shree Balaji Agora Mall, Chandkheda",,802,4,Multiplex,
Ahmedabad,"Time Cinema: CG Road, Ahmedabad",176.4583333,372,4,Multiplex,
Ahmedabad,"Usha Talkies, Gomtipur",,550,1,Single Screen,
Ahmedabad,Wide Angle: Ahmedabad,166.1531987,1400,5,Multiplex,
Bangalore,"7D Mastii: Element Mall, Nagwara",150,18,1,Single Screen,Mastiii 7D
Bangalore,"7D Mastiii: Forum Value Mall, Whitefield",150,16,1,Single Screen,Mastiii 7D
Bangalore,"7D Voyage: Central Mall, Bellandur",180,8,1,Single Screen,7D Voyage
Bangalore,7D VR Voyage: Garuda Mall,190,8,1,Single Screen,7D Voyage
Bangalore,Abhinay Theatre: Gandhi Nagar,130,1019,1,Single Screen,
Bangalore,Akash Cinemas (Rajeshwari Theatre): Laggere,125,780,1,Single Screen,
Bangalore,Amruth Theatre: Lingarajapuram,127.5,926,1,Single Screen,
Bangalore,"Anand Theatre, No-268",,947,1,Single Screen,
Bangalore,Anjan Digital 4K A/C Cinema: Magadi Road,125,990,1,Single Screen,
Bangalore,Anupama Theatre: Gandhinagar,106.5,1032,1,Single Screen,
Bangalore,Aruna Theatre: Srirampuram,109,936,1,Single Screen,
Bangalore,"Ascendas Park Square Mall, EPIP",,779,4,Multiplex,Q Cinemas
Bangalore,Balaji Digital 2K Cinema: Tavarekere,120,880,1,Single Screen,
Bangalore,"Bharathi Chitra Mandira, Dasarahalli",,1070,1,Single Screen,
Bangalore,Bhumika Digital 2K Cinema: Gandhinagar,135,894,1,Single Screen,
Bangalore,Carnival: Rockline Mall,179.4444444,1011,4,Multiplex,Carnival
Bangalore,Cauvery Theatre: Sankey Road,123.3333333,1210,1,Single Screen,
Bangalore,Chandrodaya Digital 2K Cinema: Vidyapeeta Circle,110,960,1,Single Screen,
Bangalore,Cinepolis: Binnypet Mall,220.537415,1580,8,Multiplex,Cinepolis
Bangalore,"Cinepolis: Orion East Mall, Banaswadi",244.5454545,1097,5,Multiplex,Cinepolis
Bangalore,Cinepolis: Royal Meenakshi Mall,271,1344,7,Multiplex,Cinepolis
Bangalore,Cinesquare Savitha Theatre: Malleshwaram,133.3333333,350,1,Single Screen,
Bangalore,"Deepak Theatre, Mahatma Gandhi Road",,525,1,Single Screen,
Bangalore,Eshwari Digital 2K Cinema: Banashankari,108.3333333,918,1,Single Screen,
Bangalore,Everest Digital 2K Cinema: Frazer Town,125,546,1,Single Screen,
Bangalore,"Fame Shankarnag Chitramandira, Mahatma Gandhi Road",,615,1,Single Screen,
Bangalore,"Fun Cinemas: Sigma Mall, Bengaluru",180.3571429,985,3,Multiplex,
Bangalore,Galaxy Paradise Screen 1: Bommanahalli Hosur Rd,160,100,1,Single Screen,
Bangalore,Galaxy Paradise: Screen 2,160,120,1,Single Screen,
Bangalore,"Ganesh Theatre, Attur",,713,1,Single Screen,
Bangalore,"Gopalan Cinemas: Arcade Mall, Mysore Road",250.3846154,1019,3,Multiplex,Gopalan Cinemas
Bangalore,Gopalan Cinemas: Bannerghatta Road,261.1805556,852,3,Multiplex,Gopalan Cinemas
Bangalore,Gopalan Grand Mall: Old Madras Road,256.1111111,1030,4,Multiplex,Gopalan Cinemas
Bangalore,"Gopalan Miniplex: Signature Mall, Old Madras Road",260.3846154,157,3,Multiplex,Gopalan Cinemas
Bangalore,Goverdhan Theatre: Yeshwantpur,90,1064,1,Single Screen,
Bangalore,"Guru Siddeshwara Chitra Mandira, Anjanapura",,615,1,Single Screen,
Bangalore,HMT Digital 4K Cinema: Jalahalli,150,874,1,Single Screen,
Bangalore,Innovative Multiplex: Marathahalli,180,1406,4,Multiplex,
Bangalore,"INOX Lido: Off MG Road, Ulsoor",338.4166667,1259,5,Multiplex,Inox
Bangalore,INOX: Brookefield Mall,270.9259259,338,3,Multiplex,Inox
Bangalore,"INOX: Central, JP Nagar, Mantri Junction",343.0347222,1118,4,Multiplex,Inox
Bangalore,"INOX: Forum Neighbourhood Mall, Whitefield",301.3636364,725,5,Multiplex,Inox
Bangalore,"INOX: Garuda Mall, Magrath Road",337.1212121,1103,5,Multiplex,Inox
Bangalore,"INOX: Garuda Swagath Mall, Jayanagar",285.5555556,793,3,Multiplex,Inox
Bangalore,"INOX: Mantri Square, Malleshwaram",399.0611111,1497,6,Multiplex,Inox
Bangalore,Kamakya Cinema: Banashankari,100,706,1,Single Screen,
Bangalore,Kapali Theatre: Gandhi Nagar,100,1475,1,Single Screen,
Bangalore,Keshava Theatre -,,809,1,Single Screen,
Bangalore,Lakshmi Digital 4K Cinema: Tavarekere,132.5,900,1,Single Screen,
Bangalore,"Lakshmi Theatre, Dharmaram College",,900,1,Single Screen,
Bangalore,"Lavanya, Sivan Chetty Gardens",,786,1,Single Screen,
Bangalore,Maheshwari Digital 4K Cinema: Bannerghatta Road,,0,0,Multiplex,
Bangalore,Manasa Digital 4K Dolby Atmos: Konanakunte,175,640,1,Single Screen,
Bangalore,"Manasa Theatre, Doddakallasandra",,640,1,Single Screen,
Bangalore,Menaka Talkies: Gandhi Nagar,130,971,1,Single Screen,
Bangalore,"Mohan Theatre, Magadi Main Road",,956,1,Single Screen,
Bangalore,Movie Land,,648,1,Single Screen,
Bangalore,Mukunda Dolby Atmos: M S Nagar,159.375,814,1,Single Screen,
Bangalore,Murali Gokula Digital 4K Cinema: Mathikere,118,900,1,Single Screen,
Bangalore,"N Lakshmi Chitra Mandira, B G Road",,850,1,Single Screen,
Bangalore,"Nalanda Theatre, Mysore Road",,1090,1,Single Screen,
Bangalore,"Narendra Talkies, Arabic College",,500,1,Single Screen,
Bangalore,Nartaki Theatre: Gandhi Nagar,111.5,1150,1,Single Screen,
Bangalore,Nataraj Theatre: Sheshadripuram,,1150,1,Single Screen,
Bangalore,Navrang Theatre: Rajaji Nagar,90,990,1,Single Screen,
Bangalore,"Padma Theatre, Amruthahalli",,600,1,Single Screen,
Bangalore,Parimala Digital 2K Cinema: K.R.Market,,1112,1,Single Screen,
Bangalore,Poornima Theatre: J.C. Road,115,934,1,Single Screen,
Bangalore,Pradeep Theatre: K.R.Market,,305,1,Single Screen,
Bangalore,"Prasanna Theatre, Magadi Road",,1100,1,Single Screen,
Bangalore,Pushpanjali A/C Theatre: B.N. Pura,125,999,1,Single Screen,
Bangalore,"Pushpanjali Talkies, Dinnur Main Road",,1330,1,Single Screen,
Bangalore,"PVR: Arena Mahadevapura, Bengaluru",233.5353535,1084,6,Multiplex,PVR
Bangalore,"PVR: Forum Gold, Bengaluru",825,32,1,Single Screen,PVR
Bangalore,"PVR: Forum, Bengaluru",286.9333333,1590,10,Multiplex,PVR
Bangalore,"PVR: IMAX, VR Bengaluru, Whitefield",292,292,1,Single Screen,PVR
Bangalore,"PVR: Market City (4DX), Bengaluru",450,100,1,Single Screen,PVR
Bangalore,"PVR: Market City, Bengaluru",306.2100122,1106,9,Multiplex,PVR
Bangalore,"PVR: MSR Elements Mall, Bengaluru",288.0883838,1383,7,Multiplex,PVR
Bangalore,"PVR: Orion Gold, Rajajinagar",806.2962963,144,3,Single Screen,PVR
Bangalore,"PVR: Orion, Rajajinagar",285.3444444,2714,8,Multiplex,PVR
Bangalore,"PVR: Pepsi IMAX, Koramangala",365,346,1,Single Screen,PVR
Bangalore,"PVR: Soul Spirit Bellandur, Bengaluru",290.8585859,1084,6,Multiplex,PVR
Bangalore,"PVR: Vaishnavi Sapphire Mall, Bengaluru",222.1363636,1058,6,Multiplex,PVR
Bangalore,"PVR: VR Gold, Bengaluru",697.025,1,4,Multiplex,PVR
Bangalore,"PVR: VR, Bengaluru",257.2,932,5,Multiplex,PVR
Bangalore,Radhakrishna Theatre: R.T. Nagar,125,921,1,Single Screen,
Bangalore,"Raja Murali Theatre, Kodigehalli Sahakar Nagar(post)",,558,1,Single Screen,
Bangalore,Rajarajeshwari Theatre: Nagarbhavi Circle,90,1080,1,Single Screen,
Bangalore,"Ranganatha Theatre, Mysore Road",,410,1,Single Screen,
Bangalore,Ravi Digital 2K Cinema: Ejipura,109,820,1,Single Screen,
Bangalore,Rex Theatre: Brigade Road,185,707,1,Single Screen,
Bangalore,"Robin Theatre, Chudenapura",,850,1,Single Screen,
Bangalore,Sampige Digital 2k Cinema: Malleshwaram,150,1129,1,Single Screen,
Bangalore,Sandeep Theatre: Shivaji Nagar,90,309,1,Single Screen,
Bangalore,Sandhya Digital 4K Projection Dolby Atmos: Madiwal,125,720,1,Single Screen,
Bangalore,Sangeet Theatre: Shivaji Nagar,115,860,1,Single Screen,
Bangalore,Santosh Theatre: Gandhinagar,106,680,1,Single Screen,
Bangalore,Sapna Theatre: Gandhi Nagar,95,345,1,Single Screen,
Bangalore,Sharada Cinemas A/C: S.P Road,109,680,1,Single Screen,
Bangalore,"Shobha Talkies, Bhabuji Nagar",,1000,1,Single Screen,
Bangalore,"Soundarya Mahal, Antharahalli",,726,1,Single Screen,
Bangalore,Sri Balaji Digital 2K Cinema: Viveknagar,175,415,1,Single Screen,
Bangalore,Sri Kokila Theatre: Hosakerehalli,80,650,1,Single Screen,
Bangalore,Sri Krishna Digital 2K Cinema: Bommanahalli,100,800,1,Single Screen,
Bangalore,Sri Krishna Theatre: KR Puram,100,979,1,Single Screen,
Bangalore,Sri Lakshmi Theatre: Ramamurthy Nagar,100,618,1,Single Screen,
Bangalore,"Sri Madeswara Chitra Mandira, Bangalore",,1250,1,Single Screen,
Bangalore,"Sri Maruthi Theatre, Rajagopal Nagar",,1119,1,Single Screen,
Bangalore,Sri Renuka Prasanna Theatre: J P Nagar,104,1078,1,Single Screen,
Bangalore,"Sri Siddalingeswara Chitra Mandira, Bangalore",,940,1,Single Screen,
Bangalore,Sri Srinivasa Theatre: Padmanabanagara,110,725,1,Single Screen,
Bangalore,Sri Vajreshwari Theatre: Ullal,110,844,1,Single Screen,
Bangalore,Sri Venkateshwara Theatre: Kengeri,100,500,1,Single Screen,
